review_id,text,sentiment
1086,"Unsatisfactory experience, totally useless product.",negative
1087,"Acceptable product, meets minimal basic needs.",neutral
1088,"  FANTASTIC USER EXPERIENCE, SMOOTH PERFORMANCE OVERALL. !!! ",positive
1089,  POOR QUALITY MATERIALS. DO NOT BUY THIS PRODUCT! !!! ,negative
1090,"It is okay, normal experience overall.",neutral
1091,This product is absolute quality! Loved it completely.,positive
1092,Poor quality materials. Do not buy this product!,negative
1093,"  IT IS OKAY, NORMAL EXPERIENCE OVERALL. !!! ",neutral
1094,  SUPERB PERFORMANCE AND OUTSTANDING DESIGN. !!! ,positive
1095,  DEFECTIVE ITEM DELIVERED. RETURNING IT IMMEDIATELY. !!! ,negative
1096,  FAIR EXPERIENCE. NEITHER GREAT NOR TOO BAD. !!! ,neutral
1097,Amazing results! Will definitely purchase again.,positive
1098,"Horrible product, broke in just one single day.",negative
1099,"It works fine, but could be improved slightly.",neutral
1100,Superb performance and outstanding design.,positive
1101,Defective item delivered. Returning it immediately.,negative
1102,  FAIR EXPERIENCE. NEITHER GREAT NOR TOO BAD. !!! ,neutral
1103,"  GREAT SUPPORT, EXCELLENT FEATURES, AND SUPER FAST DELIVERY! !!! ",positive
1104,"Terrible customer support, complete waste of money.",negative
1105,  DECENT PRODUCT FOR THIS PRICE RANGE. !!! ,neutral
1106,  HIGHLY RECOMMENDED! WORTH EVERY SINGLE PENNY. !!! ,positive
1107,  DEFECTIVE ITEM DELIVERED. RETURNING IT IMMEDIATELY. !!! ,negative
1108,  DECENT PRODUCT FOR THIS PRICE RANGE. !!! ,neutral
1109,"  GREAT SUPPORT, EXCELLENT FEATURES, AND SUPER FAST DELIVERY! !!! ",positive
1110,  DEFECTIVE ITEM DELIVERED. RETURNING IT IMMEDIATELY. !!! ,negative
1111,Standard delivery speed. Product is reasonable.,neutral
1112,"Great support, excellent features, and super fast delivery!",positive
1113,"  TERRIBLE CUSTOMER SUPPORT, COMPLETE WASTE OF MONEY. !!! ",negative
1114,"It is okay, normal experience overall.",neutral
1115,"Great support, excellent features, and super fast delivery!",positive
1116,"  TERRIBLE CUSTOMER SUPPORT, COMPLETE WASTE OF MONEY. !!! ",negative
1117,Decent product for this price range.,neutral
1118,Highly recommended! Worth every single penny.,positive
1119,Poor quality materials. Do not buy this product!,negative
1120,Average performance. Nothing special to mention.,neutral
